title,type,location,people,description
Vartega,Materials & Manufacturing,"Golden, CO, USA",11-50,"Vartega is a technology development company specializing in the carbon fiber-reinforced plastic recycling process. We have developed alternative technology, processes, and equipment to provide low-cost carbon fiber for use in mass market applications."
Varentec,Energy,"Santa Clara, CA, USA",11-50,"Mission: To help realize a resilient, robust, efficient and affordable electrical distribution system of the future

Vision: Unlock the Smart Grid values by deploying Grid Edge Volt Var Control solution, and enhance the capabilities and performance of the existing power grid into the grid of the future.

Varentec provides products and solutions that achieve smarter power delivery for its customers. Funded by Bill Gates, 3M, and Khosla Ventures, Varentec is also the recipient of support from the Department of Energy.  Smart power delivery means thinking out of the box, taking new approaches, and breaking old barriers. High performance at a lower cost, more compact and greater versatility – in solution design, Varentec does not believe that innovation must carry a large cost increase. Smart power delivery, providing better control, more granular control, faster control, and more intelligent control – this is the mission of Varentec. By taking bold new approaches and simplifying the approach to age old problems, Varentec offers better performance at a lower total cost of ownership, and a faster return on investment."
Varden,Materials & Manufacturing,"Waterloo, Ontario, Canada",11-50,"Our biomaterial sources come from agricultural residue, not waste, as nature doesn’t produce waste. We repurpose these natural fibres to provide enhanced properties, but we ensure that nature still recognises them as her own."
Va-Q-Tec,Materials & Manufacturing,"Langhorne, PA, USA",251-500,"va-Q-tec is a dynamic high-tech company that has been pioneering in the development of innovative solutions in the insulation industry since 2001 on the basis of energy efficient, space saving and environmentally friendly vacuum insulation panels (VIPs). The VIPs insulate around 10 times more efficient compared to conventional fiber or foam insulation.

Furthermore va-Q-tec manufactures passive thermal packaging solutions (containers & boxes) which offer constant temperature conditions typically for 4 to 10 days. The company produces in Germany and assures the highest quality standards with its patented control system.

The efficient technology of va-Q-tec’s products saves valuable energy in areas of everyday use: transport of pharmaceutical products, in refrigeration and freezer appliances, in buildings, in technology & industry as well as in automobiles and aircraft."
"Utilidata, Inc",Energy,"Providence, RI, USA",11-50,"Utilidata®, Inc., an energy software company backed by leading venture capital firms, is the industry leader in energy grid optimization. The company’s patented technology captures real-time signals from the electric grid and provides actionable insights to save energy, integrate distributed energy resources, and better detect grid anomalies. The company is headquartered in Providence, Rhode Island. For more information, please visit www.utilidata.com or follow @Utilidata on Twitter."
US Geothermal,Energy,"ID, USA",11-50,"Geothermal energy (geo meaning ""earth"" and thermal meaning ""heat"") is energy recovered from the heat of the earth's interior. Geothermal heat can appear in the form of volcanoes, hot springs and geysers. The high temperatures in the earth's interior are a result of heat trapped during the formation of the planet, as well as the decay of naturally occurring radioactive elements. Temperatures below the surface can reach 4,200Â° C, decreasing to 650 - 1200Â° at depths of 80km-100km. Through the deep circulation of groundwater and the intrusion of molten magma into the earth's crust at depths of only 1km-5km, the heat is brought closer to the earth's surface. The molten rock then heats the surrounding groundwater, which is forced to the surface in certain areas in the form of steam or hot water (i.e. hot springs, geysers). The heat energy close to or at the earth's surface can be utilized as a source of energy."
Urban Future Lab,Energy,"New York City, NY, USA",11-50,"Urban Future Lab is the center of cleantech innovation in New York. They are leading the way to a more sustainable world by connecting people, capital, and purpose to advance market-ready solutions to address climate change. Their programs include ACRE, a business incubation program for pre-seed to series A startups, PowerBridgeNY, a proof-of-concept center commercializing research from local universities, and Clean Start, an advanced diploma from NYU for people seeking a transition into the cleantech sector. The UFL is part of the NYU Tandon School of Engineering and is located in the Downtown Brooklyn."
Urban Electric Power,Energy,"New York City, NY, USA",11-50,"Urban Electric Power (UEP) is a New York based company manufacturing and deploying high-capacity, rechargeable, and inexpensive batteries. Made from earth-abundant and safe materials, zinc and manganese dioxide, these batteries can be stacked to power homes and businesses for several days during power outages and recharged hundreds of times.

These batteries can be recharged from a variety of sources, including solar panels and wind turbines, and can be easily incorporated in micro-grids powered by renewable resources.

UEP’s vision is to provide affordable power to everyone, enabling a future where fuel is replenished on a human timescale."
Uplight,Energy,"Boulder, CO, USA",11-50,"Dedicated solely to serving our utility partners, Uplight brings together the industry’s most effective residential and business solutions for customer engagement, DSM, personalization and energy management in one unified system."
United Wind,Energy,"Brooklyn, NY, USA",11-50,"United Wind is a rapidly expanding wind energy company that offers simple, affordable solutions for reducing monthly energy costs. Founded on the belief that wind energy must be affordable to compete with conventional energy sources, we are revolutionizing the industry with our WindLease offering.

Work alongside industry experts who lead, inspire, and teach others. Our team is highly motivated, hard working, and committed to meeting high expectations. We have built a network of talented individuals who can work together to deliver the nation’s most robust wind energy solutions. Come join us!

United Wind is always looking for motivated and talented new employees."
