Sr No.,title,type,location,people,description
0,Drawdown Fund,Capital,"Park City, UT, USA",1-10,"The Drawdown Fund is a growth equity fund that invests in catalytic businesses that generate attractive returns for all stakeholders.  Our investments span Sustainable Cities, Food & Agriculture, and Energy.  We work with companies with proven business models seeking capital to scale."
1,Hobbs & Towne,,"Valley Forge, PA, USA",11-50,"Hobbs & Towne is a retained executive search and advisory services firm that has specialized in the disruptive technology, ag/foodtech, clean energy, sustainability, consumer and fund management markets for more than 20 years. We work with investors, companies and candidates all over the world with a team of 13 Partners and 30 Associates across 6 offices: San Francisco, Philadelphia, New York, Los Angeles, Toronto & London.
Executive Search
• HTI specializes in recruiting Board, C-suite executives and other strategic talent for growth-oriented companies in multiple emerging and disruptive markets around the globe.
Advisory Services

M&A & Proprietary Deal Flow.
Restructuring & Interim Management.
Capital Raise & Refinancing.
Leadership Assessment & Executive Coaching."
2,Doosan GridTech,Energy,"Seattle, WA, USA",11-50,"Doosan GridTech™️ delivers control system software and power system engineering services to help distribution utilities integrate distributed energy resources, such as solar and wind power, into the grid. Our control software for energy storage systems (ESSs) runs patent-pending algorithms that help utilities maintain power quality on circuits impacted by solar and other renewables, while taking full advantage of energy storage and other distributed energy resources."
3,DOE Solar Energy Technologies Office,Energy,"Seattle, WA, USA",11-50,"As a science agency, the Energy Department plays an important role in the innovation economy. The Department catalyzes the transformative growth of basic and applied scientific research, the discovery and development of new clean energy technologies and prioritizes scientific innovation as a cornerstone of US economic prosperity.

Through initiatives like the Loan Programs Office and the Advanced Research Projects Agency-Energy (ARPA-E), the Department funds cutting-edge research and the deployment of innovative clean energy technologies. The Department also encourages collaboration and cooperation between industry, academia and government to create a vibrant scientific ecosystem. 

In addition, the Energy Department's 17 National Laboratories are a system of intellectual assets unique among world scientific institutions and serve as regional engines of economic growth for states and communities across the country."
4,Dock to Dish,"Food, Agriculture, & Land Use","New York City, NY, USA",11-50,"We provide New Yorkers with membership access to New York State-certified wild seafood by shipping fresh fillets to your doorstep, directly from the Montauk fishing fleet."
5,DMC Biotechnologies,Materials & Manufacturing,"Denver, CO, USA",11-50,"DC biosciences provides pharmaceutical and biotech companies with novel technologies and proteomics services to support the development of safer drugs faster. We are best placed to apply our knowledge and experience in a wide range of bioscience disciplines including quantitative proteomics, chemical biology, biochemistry, molecular biology, bioinformatics and cell biology to provide solutions in key areas of drug discovery and development."
6,DiverseCity Ventures,Capital,United States,1-10,"DiverseCity Ventures backs Founders whose companies have social, economic, and/or environmental impact.

DiverseCity Ventures is an impact-oriented venture capital firm, which invests primarily in early-stage technology-driven companies with large addressable markets and a high probability of outsized returns. It fosters collaboration within the innovation economy while training, incubating, and supporting early-stage entrepreneurs."
7,Distributed Solar Development,Energy,"San Francisco, CA, USA",11-50,Distributed Solar Development is a solar energy management company.
8,Dirt Capital Partners,"Food, Agriculture, & Land Use","New York City, NY, USA",1-10,"Dirt Capital Partners invests in farmland in partnership with farmers throughout the Northeast United States, promoting sustainable farmers’ land access and security.

Farming is risky. For farmers who are building the quality of their soil every year, insecure land tenure critically inhibits multi-year business planning. Many talented farmers with profitable operations do not qualify for a conventional loan and/or do not have enough capital saved to make a large down payment. The primary alternative is leased land, which is often short-term, insecure and requires permission from landowners to erect basic farm infrastructure. Dirt Capital fills these gaps by facilitating farmland transitions, crafting long-term leases that allow businesses to expand securely, and providing defined pathways to ownership.

FARMER PARTNERS
We work with sustainable farmers who have successful, existing operations, established markets and the opportunity to grow and expand their business through long-term, secure land access.

Most of our land investment partnerships result from a farmer contacting Dirt Capital with one of the following scenarios:

Relocate an existing farm to a larger property, or to a farm with more secure land tenure

Expand a successful operation by acquiring nearby land

Transfer a farm to non-family or family successors

Conserve when land trusts look to partner with a like-minded organization, or keep already conserved land in active agricultural production

Transform a farm with infrastructure updates for the next generation’s efficiency

Reorganize, or refinance a farm in the event of a change in the partnership or business"
9,Direct Energy Solar,Energy,"Hanover, MD, USA",51-100,"Since its inception, Direct Energy Solar has installed over 9,000 solar systems in 15 states. Providing our customers with reliable access to solar power to lower their energy bills is our specialty and focus. As part of Centrica Business Solutions and the Direct Energy family of brands, we are dedicated to utilizing distributed energy solutions to provide our customers a competitive advantage by lowering their operating costs and increasing their resilience."
